date,CSI300,STAR50,CGB
2020-08-03,4.825,,121.656
2020-08-04,4.829,,121.671
2020-08-05,4.831,,121.726
2020-08-06,4.813,,121.621
2020-08-07,4.765,,121.616
2020-08-10,4.781,,121.611
2020-08-11,4.734,,121.588
2020-08-12,4.702,,121.166
2020-08-13,4.687,,121.278
2020-08-14,4.778,,121.301
2020-08-17,4.877,,121.429
2020-08-18,4.87,,121.507
2020-08-19,4.794,,121.39
2020-08-20,4.743,,121.122
2020-08-21,4.783,,121.144
2020-08-24,4.813,,121.12
2020-08-25,4.822,,120.866
2020-08-26,4.763,,120.745
2020-08-27,4.799,,120.485
2020-08-28,4.917,,120.403
2020-08-31,4.874,,120.488
2020-09-01,4.908,,120.853
2020-09-02,4.904,,120.715
2020-09-03,4.884,,120.692
2020-09-04,4.829,,120.496
2020-09-07,4.732,,120.212
2020-09-08,4.756,,120.428
2020-09-09,4.645,,120.541
2020-09-10,4.649,,120.777
2020-09-11,4.685,,120.706
2020-09-14,4.712,,120.495
2020-09-15,4.747,,120.626
2020-09-16,4.719,,120.675
2020-09-17,4.69,,120.71
2020-09-18,4.811,,120.714
2020-09-21,4.756,,121.058
2020-09-22,4.699,,121.217
2020-09-23,4.713,,121.182
2020-09-24,4.636,,121.081
2020-09-25,4.639,,120.955
2020-09-28,4.649,,120.854
2020-09-29,4.66,,120.746
2020-09-30,4.646,,120.7
2020-10-09,4.739,,120.523
2020-10-12,4.887,,120.6
2020-10-13,4.903,,120.436
2020-10-14,4.879,,120.429
2020-10-15,4.867,,120.291
2020-10-16,4.853,,120.481
2020-10-19,4.822,,120.729
2020-10-20,4.852,,120.771
2020-10-21,4.858,,120.878
2020-10-22,4.842,,121.001
2020-10-23,4.786,,120.823
2020-10-26,4.75,,120.71
2020-10-27,4.764,,120.942
2020-10-28,4.804,,120.875
2020-10-29,4.848,,120.82
2020-10-30,4.757,,120.961
2020-11-02,4.785,,121.177
2020-11-03,4.836,,121.136
2020-11-04,4.873,,121.214
2020-11-05,4.949,,121.083
2020-11-06,4.951,,120.916
2020-11-09,5.048,,120.734
