date,CGB
2022-12-19,128.657
2022-12-20,128.669
2022-12-21,128.599
2022-12-22,128.64
2022-12-23,128.678
2022-12-26,128.627
2022-12-27,128.641
2022-12-28,128.826
2022-12-29,128.897
2022-12-30,129.104
2023-01-03,129.067
2023-01-04,129.288
2023-01-05,129.221
2023-01-06,128.957
2023-01-09,128.96
2023-01-10,128.885
2023-01-11,128.75
2023-01-12,128.785
2023-01-13,128.813
2023-01-16,128.71
2023-01-17,128.719
2023-01-18,128.7
2023-01-19,128.729
2023-01-20,128.854
2023-01-30,128.854
2023-01-31,128.838
2023-02-01,128.887
2023-02-02,128.972
2023-02-03,129.018
2023-02-06,128.956
2023-02-07,128.975
2023-02-08,129.018
2023-02-09,129.028
2023-02-10,129.079
2023-02-13,129.089
2023-02-14,129.093
2023-02-15,129.099
2023-02-16,129.087
2023-02-17,129.102
2023-02-20,129.008
2023-02-21,128.967
2023-02-22,128.992
2023-02-23,128.99
2023-02-24,128.993
2023-02-27,128.972
2023-02-28,128.954
2023-03-01,128.963
2023-03-02,128.991
2023-03-03,128.974
2023-03-06,129.063
2023-03-07,129.163
2023-03-08,129.232
2023-03-09,129.251
2023-03-10,129.3
2023-03-13,129.295
2023-03-14,129.338
2023-03-15,129.307
2023-03-16,129.366
2023-03-17,129.436
2023-03-20,129.521
2023-03-21,129.459
2023-03-22,129.453
2023-03-23,129.427
2023-03-24,129.373
