date,CGB,CSI300,STAR50
2020-12-07,120.668,5.096,1.412
2020-12-08,120.718,5.08,1.408
2020-12-09,120.764,5.02,1.38
2020-12-10,120.763,5.01,1.383
2020-12-11,120.623,4.954,1.396
2020-12-14,120.515,4.998,1.413
2020-12-15,120.718,5.013,1.406
2020-12-16,120.784,5.023,1.388
2020-12-17,120.736,5.094,1.406
2020-12-18,120.666,5.065,1.403
2020-12-21,120.809,5.11,1.43
2020-12-22,121.028,5.033,1.403
2020-12-23,121.098,5.074,1.417
2020-12-24,121.121,5.074,1.393
2020-12-25,121.251,5.116,1.394
2020-12-28,121.131,5.13,1.38
2020-12-29,121.2,5.114,1.381
2020-12-30,121.266,5.178,1.403
2020-12-31,121.312,5.287,1.434
2021-01-04,121.124,5.334,1.464
2021-01-05,121.242,5.433,1.468
2021-01-06,121.493,5.482,1.458
2021-01-07,121.564,5.599,1.429
2021-01-08,121.509,5.571,1.423
2021-01-11,121.392,5.508,1.437
2021-01-12,121.518,5.668,1.45
2021-01-13,121.757,5.646,1.454
2021-01-14,122.008,5.543,1.498
2021-01-15,121.86,5.526,1.492
2021-01-18,121.692,5.513,1.526
2021-01-19,121.468,5.438,1.492
2021-01-20,121.663,5.468,1.524
2021-01-21,121.81,5.562,1.526
2021-01-22,121.865,5.565,1.536
2021-01-25,121.868,5.631,1.542
2021-01-26,121.452,5.511,1.524
2021-01-27,121.48,5.521,1.503
2021-01-28,121.386,5.385,1.469
2021-01-29,121.41,5.348,1.467
2021-02-01,121.529,5.411,1.467
2021-02-02,121.591,5.491,1.478
2021-02-03,121.666,5.485,1.456
2021-02-04,121.638,5.474,1.435
2021-02-05,121.447,5.482,1.414
2021-02-08,121.307,5.554,1.425
2021-02-09,121.294,5.692,1.472
2021-02-10,121.466,5.807,1.478
2021-02-18,121.349,5.764,1.476
2021-02-19,121.365,5.796,1.472
2021-02-22,121.419,5.589,1.433
2021-02-23,121.549,5.574,1.433
2021-02-24,121.771,5.427,1.409
2021-02-25,121.756,5.478,1.393
2021-02-26,121.508,5.329,1.368
2021-03-01,121.503,5.418,1.4
2021-03-02,121.983,5.349,1.392
2021-03-03,121.904,5.454,1.4
2021-03-04,121.852,5.287,1.366
2021-03-05,121.991,5.266,1.37
2021-03-08,121.99,5.08,1.316
2021-03-09,121.854,4.979,1.269
2021-03-10,121.929,5.0,1.272
2021-03-11,121.844,5.129,1.304
2021-03-12,121.854,5.142,1.298
2021-03-15,121.791,5.04,1.26
2021-03-16,121.627,5.073,1.258
2021-03-17,121.673,5.096,1.271
2021-03-18,121.618,5.136,1.277
2021-03-19,121.594,4.997,1.266
2021-03-22,121.61,5.054,1.28
2021-03-23,121.639,5.009,1.273
2021-03-24,121.79,4.933,1.258
2021-03-25,121.885,4.929,1.259
2021-03-26,121.72,5.033,1.293
2021-03-29,121.71,5.043,1.286
2021-03-30,121.902,5.087,1.286
2021-03-31,121.934,5.05,1.284
2021-04-01,121.9,5.112,1.303
2021-04-02,122.082,5.161,1.338
2021-04-06,122.004,5.133,1.335
2021-04-07,121.987,5.098,1.339
2021-04-08,121.829,5.109,1.33
2021-04-09,121.825,5.038,1.309
2021-04-12,122.049,4.954,1.282
2021-04-13,122.313,4.947,1.28
2021-04-14,122.273,4.975,1.29
2021-04-15,122.279,4.947,1.3
2021-04-16,122.339,4.963,1.315
2021-04-19,122.261,5.089,1.336
2021-04-20,122.322,5.081,1.33
2021-04-21,122.555,5.093,1.325
2021-04-22,122.457,5.089,1.345
2021-04-23,122.746,5.14,1.352
2021-04-26,122.581,5.076,1.352
2021-04-27,122.483,5.089,1.352
2021-04-28,122.398,5.127,1.361
2021-04-29,122.452,5.173,1.363
2021-04-30,122.6,5.128,1.364
2021-05-06,122.633,5.061,1.348
2021-05-07,122.587,5.0,1.304
2021-05-10,122.65,4.999,1.294
2021-05-11,122.892,5.025,1.294
2021-05-12,122.9,5.056,1.31
2021-05-13,122.726,5.001,1.313
2021-05-14,122.739,5.127,1.341
2021-05-17,122.887,5.188,1.367
2021-05-18,122.856,5.19,1.359
2021-05-19,123.059,5.176,1.365
2021-05-20,123.229,5.19,1.369
2021-05-21,123.351,5.135,1.354
2021-05-24,123.377,5.163,1.371
2021-05-25,123.167,5.327,1.408
2021-05-26,123.225,5.328,1.404
2021-05-27,123.134,5.347,1.437
2021-05-28,123.132,5.332,1.43
2021-05-31,122.902,5.338,1.484
2021-06-01,123.071,5.346,1.502
2021-06-02,122.985,5.303,1.469
2021-06-03,122.966,5.262,1.456
2021-06-04,123.015,5.295,1.475
2021-06-07,122.876,5.289,1.475
2021-06-08,122.896,5.247,1.465
2021-06-09,122.86,5.255,1.472
2021-06-10,122.888,5.289,1.498
2021-06-11,122.712,5.24,1.493
2021-06-15,122.69,5.181,1.499
2021-06-16,122.937,5.11,1.453
2021-06-17,122.873,5.121,1.528
2021-06-18,122.968,5.126,1.55
2021-06-21,123.227,5.119,1.584
2021-06-22,123.161,5.145,1.58
